,id,text,created_at,final fantasy,retweet_count,reply_count,like_count,quote_count,polarity
9631,1601162387838898176,FInal Fantasy will be available on other CONSOLE and Pc after  31 23  Look well the picture below ,2022-12-09T10:30:36.000Z,1.0,0,0,0,1,0.09166666666666667
9660,1601162003640221698,What a wild   From surprise actors  HALSEY  fantastic trailers  and the kid that was immediately suspicious Decided I need to play God of War  I should finish Elden Ring  its hard  Also that Final Fantasy Trailer  New Hades  Yes please  What did you love ,2022-12-09T10:29:04.000Z,1.0,0,1,16,0,0.1407828282828283
9785,1601159383521832960,Gran Turismo Sports RacingFinal Fantasy XIVCommunity SupportOngoingMarvel SnapMobileMario   Rabbids Sparks of HopeSimulation StrategyNibellionCreator of the Year3 ,2022-12-09T10:18:39.000Z,1.0,1,1,5,0,0.0
9924,1601156063298195456, Hades     Death Stranding     Final Fantasy   etc     ,2022-12-09T10:05:28.000Z,1.0,0,0,0,0,0.0
9970,1601155033961467904,ELDEN RING   never any doubt  AMAZING result  lt 3HADES II   cor yes Death Stranding   excite Final Fantasy XVI   looks absolutely amazing  YES I HECKIN  LOVE VIDEO GAMES MAN  might even FINALLY pick up Cyberpunk now we have Idris Elba in it,2022-12-09T10:01:22.000Z,1.0,0,1,3,0,0.34
10061,1601153069404033024,Games which im hyped about at hypedead stranding  Armored core Diablo  Cyberpunk liberty cityVery hyped Final fantasy  Star Wars jedi survive Destiny lightfallNormal hyped Lords of fallen Remnant  Hades  Judas Suicide squad,2022-12-09T09:53:34.000Z,1.0,0,0,0,0,0.0
10281,1601149673095725057,Woke up  made a cup of tea and got caught up on the VGA trailers news Massive congratulations to ______________________________Death Stranding Final Fantasy XVI Jedi Survivor Hades,2022-12-09T09:40:04.000Z,1.0,0,0,2,0,0.0
10295,1601149450553991168,A lot of great games were announced  but these games here are the ones I got most excited for  Death Stranding TEKKEN FINAL FANTASY XVIHorizon Forbidden West  Burning ShoresStar Wars JEDI  SurvivorCrash Team Rumble,2022-12-09T09:39:11.000Z,1.0,0,0,1,0,0.41875
10372,1601148052730888193,Looks like its tome to get back to Final Fantasy ,2022-12-09T09:33:38.000Z,1.0,0,0,1,0,0.0
10857,1601138387813269507,PlayStation announcement predictions at the Reuters    Final Fantasy with release date Reuters  Horizon Forbidden West DLC announcement ndising Death Stranding  nd  Revealed Helldivers  ,2022-12-09T08:55:14.000Z,1.0,1,0,1,0,0.0
11002,1601135818197827585,Final Fantasy Reveals Its Official Release Date,2022-12-09T08:45:01.000Z,1.0,0,0,0,0,0.0
11080,1601134505388974080,Game Reveals that intrigue me Jedi SurvivorDune Awakening Immortals of AveumNightingaleWayfinderDiablo Blue Protocol Global ReleaseTransformers ReactivateBanishers Witcher RemakeLords of the Fallen Armored Core VIWildheartsFinal Fantasy XVIHades II,2022-12-09T08:39:48.000Z,1.0,0,0,1,0,-0.13333333333333333
11314,1601129811543564288,Final Fantasy Reveals A New Revenge Trailer  Pre orders And Launch Date Revealed  at ,2022-12-09T08:21:09.000Z,1.0,0,0,0,0,0.06818181818181818
11363,1601129016768925697,What a good day go wake up as a Final Fantasy Fan today,2022-12-09T08:17:59.000Z,1.0,0,0,4,0,0.35
11459,1601126640251457536,The Game Awards Recap  Final Fantasy    Star Wars Jedi  Survivor   Diablo    And More,2022-12-09T08:08:33.000Z,1.0,0,0,1,0,0.033333333333333326
11460,1601126609196822528,Fortnite lost ongoing game to final Final Fantasy XIV   Bozos,2022-12-09T08:08:25.000Z,1.0,0,0,0,0,-0.13333333333333333
11495,1601125649678471168,Hypest announcements trailers from BanishersDeath Stranding Dead Cells CastlevaniaFinal Fantasy XVI,2022-12-09T08:04:37.000Z,1.0,0,1,1,0,-0.2
11551,1601124281374892034,FINAL FANTASY XVI   Coming to PS5 on June   REVENGE IS A WEAPON,2022-12-09T07:59:10.000Z,1.0,1,0,0,0,0.0
11613,1601123028028776451,New Video In Channel on YouTube  Final Fantasy   The Game Awards ReactionLink ,2022-12-09T07:54:11.000Z,1.0,0,0,0,0,-0.08787878787878789
11671,1601121873592320000,wasss soooo good  New Armored Core  Final Fantasy having proper blood is different and looks to be the best yet  Nightingale looks fantastic  new transformers give naow  Space Marine showing it s stuff  shall be goodddddddddddd,2022-12-09T07:49:36.000Z,1.0,0,0,1,0,0.29659090909090907
11782,1601119421900414977,How does an outsider react to the new Final Fantasy XVI trailer  Here s how    because I reacted to it   Link is in the reply ,2022-12-09T07:39:52.000Z,1.0,0,1,1,0,0.06818181818181818
11839,1601118066020159488,Square Enix has revealed that Final Fantasy XVI will launch on June nd ,2022-12-09T07:34:28.000Z,1.0,1,0,1,0,0.0
11890,1601117131881721857,Final Fantasy XVI looks like it s going to be the best entry in a LONG time  certainly since FFX  Based on that trailer last night I think it could very well be one of the best  SO excited for this  they have nailed every frame we ve seen of the game so far,2022-12-09T07:30:46.000Z,1.0,0,1,3,1,0.2439285714285714
12263,1601110130632036352,Tekken gonna pop offDeath stranding gonna be a tripHades II let s fucking goooooFinal Fantasy XVI just EpicAll around I am pleased,2022-12-09T07:02:56.000Z,1.0,0,0,0,0,-0.04999999999999999
12274,1601109950503456774,Check out my reaction to the new Final Fantasy XVI  Revenge  TGA Trailer ,2022-12-09T07:02:14.000Z,1.0,0,0,0,0,0.06818181818181818
12449,1601107344070672385,Final Fantasy XVI and Diablo IV launching within a few weeks of each other  Im going to be busy in June Armoured core looks good as well ,2022-12-09T06:51:52.000Z,1.0,0,0,0,0,0.095
12512,1601106576084910080,Everything shown that I m All In on     Armored Core VI  Bayonetta Origins  Blue Protocol   Death Stranding   Final Fantasy XVI  Street Fighter VI  Star Wars Jedi Survivor  Suicide Squad Kill the Justice League  Tekken,2022-12-09T06:48:49.000Z,1.0,0,0,2,0,0.0
12603,1601105354955591681,My highlights on the this year s  Kirby wins Best Family Game Hideo Kojima s DS2 Tekken  FE  Engage DLC  LoZ  Tears of the Kingdom wins Most Anticipated Game New clip of Super Mario Bros  Movie  Final Fantasy XVI Elden Ring wins GotY,2022-12-09T06:43:58.000Z,1.0,0,0,0,0,0.20696969696969694
12645,1601104848182992896,Final Fantasy XVI got release date  exclusive for PS5 after months before coming to other platforms in      ,2022-12-09T06:41:57.000Z,1.0,0,0,0,0,-0.0625
12658,1601104703152353280,That was my favorite so far A few moments really resonated for me  DS2  Diablo   Final Fantasy   and AC6  Next year is,2022-12-09T06:41:22.000Z,1.0,0,1,2,0,0.09999999999999999
12693,1601104283348652033,My Top Highlights From   Star Wars Jedi  Survivor2  Suicide Squad  Kill The Justice League3  Final Fantasy XVI4  Judas5  Warhammer   Space Marine,2022-12-09T06:39:42.000Z,1.0,0,0,0,0,0.25
12795,1601103218263707650,Still vibing with existing stuff that got another look at   Street Fighter   Tekken   Fire Emblem Engage  Final Fantasy XVI  Oddly  Destiny Lightfall ,2022-12-09T06:35:28.000Z,1.0,0,1,8,0,-0.08333333333333333
12813,1601102949476106241,So I have a prediction  Next year the big contenders for GoTY on are gonna be Final Fantasy XVI and Resident Evik Remake ,2022-12-09T06:34:24.000Z,1.0,0,1,0,0,0.0
12957,1601101630883368960,Ngl  never been a huge Final Fantasy guy  I did love back in the day  and the remake was great  But that trailer of has me very interested  plus you can pet a dog  Always a winner,2022-12-09T06:29:10.000Z,1.0,0,0,3,0,0.3375000000000001
13122,1601099264763232257,Leaving the office at  20am after working six and a half years at Square Enix I finally had the chance to help announce the release date of a mainline Final Fantasy game Hope everyone is looking forward to  ,2022-12-09T06:19:46.000Z,1.0,37,53,862,1,-0.14166666666666666
13160,1601098824306417666,Absolutely ECSTATIC for Final Fantasy XVI  Inject that shit into my veins please and thank you ,2022-12-09T06:18:01.000Z,1.0,0,0,0,0,0.0
