,id,text,created_at,mario,retweet_count,reply_count,like_count,quote_count,polarity
21150,1601066344601989120,This I m glad to see Splatoon   Kirby And The Forgotton Land  Bayonetta   Mario  amp  Rabbids  Sparks Of Hope  Stray and Moss  Book winning this year Elden Ring and Ragnark have totally deserved their prices ,2022-12-09T04:08:57.000Z,1.0,0,0,4,0,0.3333333333333333
21727,1601065863305891840,Shoutout to bill Clinton and Mario   rabids easy game of the year fs,2022-12-09T04:07:02.000Z,1.0,0,0,0,0,0.016666666666666663
21749,1601065849254998017,So verwhelmingly happy about  Wumpa League being   Mario   Rabbids and Kirby won their categories Mixed  DLC  Burning Shores not coming to PS4 Disappointed  lost Players  Choice  Sonic Movie I can understand ,2022-12-09T04:06:59.000Z,1.0,0,1,10,0,0.01666666666666668
22222,1601065522967490561,Game awards was great  Mario movie clip was awesome and this new game based in my city  what   GTA6  where you at  Vice city  ,2022-12-09T04:05:41.000Z,1.0,0,0,0,0,0.22727272727272724
22496,1601065357992931328,The highlights of  ReplacedCeleste spiritual succesorBayo PrequelFF CyberpunkChristopher Judges SpeechAl PacinoMario Movie clipStreet Fighter,2022-12-09T04:05:02.000Z,1.0,0,1,0,0,0.0
22818,1601065170176200705,So the Game Awards was very mixed  We got some gems including Crash Team Rumble and a clip of the Mario movie  No surprise that God of War and Elden Ring came out on top this year like cmon  Poor Sonic Frontiers though,2022-12-09T04:04:17.000Z,1.0,0,1,1,0,-0.07500000000000001
22946,1601065097631129601,was a thing  A thing that happened  Animal was funny  Mario Movie still looks really good  Xenoblade got stiffed  And Sonic fans are PISSED ,2022-12-09T04:04:00.000Z,1.0,0,0,0,0,0.475
23419,1601064834279567360,bill clinton x mario was my favorite part of the,2022-12-09T04:02:57.000Z,1.0,0,0,1,0,0.5
23766,1601064661469700097,Nintendo and Illumination quickly demanded a new trailer for Super Mario Bros ,2022-12-09T04:02:16.000Z,1.0,1,0,2,0,0.2676767676767677
23913,1601064594411175939,Noticed some Easter eggs in that Mario Movie clip ,2022-12-09T04:02:00.000Z,1.0,0,0,0,0,0.0
24915,1601064180169072640,Well is over  well the highlight of this was Mario  FFXVI  Sonic Losing  Batman Tribute  Reggie  Elden Ring  and more ,2022-12-09T04:00:21.000Z,1.0,0,0,0,0,0.5
25366,1601064039777415168,okay god i THINK i saw   posted everything i needed to from that mario trailer spam   over,2022-12-09T03:59:48.000Z,1.0,0,0,2,0,0.5
25705,1601063942859952128,As quedaron los ganadores en  GoW  Ragnarok  6 Elden Ring  4 Stray  2 FF XIV  2 Kirby and the Forgotten Land  1  Multiversus  1 Moss  Book II  1 Mario Rabbids Sparks of Hope  1 As Dusk Falls  1 GT  1 Splatoon  1 Bayonetta  1 Genshin Impact  1 ,2022-12-09T03:59:24.000Z,1.0,0,0,4,0,0.0
25813,1601063909737529344,Apart from the Mario movie snippets we got  were super boring and uninteresting  as usual ,2022-12-09T03:59:17.000Z,1.0,0,0,0,0,-0.3055555555555556
26745,1601063505234272266,absolutely enjoying watching this years game awards what about that Mario movie tho ahhh so excited     ,2022-12-09T03:57:40.000Z,1.0,0,0,0,0,0.15833333333333333
28708,1601062994363891712,Congrats to Kirby and the Forgotten Land  Splatoon   Bayonetta   Mario   Rabbids Sparks of Hope  and The Legend of Zelda  Tears of the Kingdom for all winning awards at  ,2022-12-09T03:55:38.000Z,1.0,8,1,65,0,0.5
