,id,text,created_at,bayonetta,retweet_count,reply_count,like_count,quote_count,polarity
17680,1601071685754826753,Of course  the greatest surprise was the new Bayonetta spin off game  I ve always wanted to break into the Bayonetta series  This could be my chance ,2022-12-09T04:30:11.000Z,2.0,0,0,0,0,0.2454545454545454
18718,1601069606810292226,During   a Bayonetta spin off was announcedcalled Bayonetta Origins  Cereza and the Lost Demon  Cereza is the young version of the Bayonetta in   Bayonetta Origins  Cereza and the Lost Demon hits Nintendo Switch on March    ,2022-12-09T04:21:55.000Z,4.0,6,0,34,0,0.1
19853,1601067785354108930,BAYONETTA BEST ACTION GAME  LET S GOOOOOO    ,2022-12-09T04:14:41.000Z,1.0,1,0,8,0,0.23333333333333336
19910,1601067680185782273,Bayonetta Origins  Death Stranding   FF XVI release date and new trailer Pretty decent,2022-12-09T04:14:16.000Z,1.0,0,0,1,0,0.18434343434343434
20079,1601067488909070339,so far  Cyberpunk  Phantom LibertyBlue ProtocolDiablo Final Fantasy Tekken Street Fighter Star Wars Jedi SurvivorBayonetta OriginsArmored Core VI  Fire of RubiconCrime Boss  Rockay CityAnd much moreWere ready ,2022-12-09T04:13:30.000Z,1.0,1,0,3,1,0.125
21150,1601066344601989120,This I m glad to see Splatoon   Kirby And The Forgotton Land  Bayonetta   Mario  amp  Rabbids  Sparks Of Hope  Stray and Moss  Book winning this year Elden Ring and Ragnark have totally deserved their prices ,2022-12-09T04:08:57.000Z,1.0,0,0,4,0,0.3333333333333333
21155,1601066342563471360,Hades   Bayonetta Origins  and Earthblade were some of the most interesting game announcements in the,2022-12-09T04:08:57.000Z,1.0,0,0,0,0,0.19999999999999998
21386,1601066115203223552,Okay    are we going to see a potential sequel to Vanquish like what Mikami sensei hinted at years ago  now that Bayonetta has released ,2022-12-09T04:08:02.000Z,1.0,0,0,1,0,0.25
21707,1601065876333416448,Re    Thank God Elden Ring won GOTY  thought GOWR was gonna win everything  Also Chris Judge  great speech and all but next time  keep it short   That Tekken trailer AAH   That FFXVI trailer AAH   That Bayonetta trailer AAH   Other than that it was alright ,2022-12-09T04:07:05.000Z,1.0,0,0,0,0,0.29500000000000004
22192,1601065539190652929,Congrats to Bayonetta      In    I love the and music and action of seeing the witch again in action And also i very excited to the new title  Bayonetta origins the lost demon  ,2022-12-09T04:05:45.000Z,2.0,0,0,1,0,0.26477272727272727
22338,1601065463915503616,Really great show  awards are always kinda messy and subjective anyway  but the reveals were great Earthblade  Jedi Survivor  Death Stranding  good gameplay pls   Bayonetta spinoff game  Horizon DLC  new Crash game  a new probably high budget armored core game,2022-12-09T04:05:27.000Z,1.0,0,1,1,0,0.13327272727272726
24122,1601064494175698944,Now if these are the games that announced and that I hope to play them Hellboy  Web of WyrdAtomic HeartAfter UsSuicide Squad Kill the Justice League Party AnimalsStreet Fighter Tekken Bayonetta originsBanishers Ghost of New EdenMeet Your Maker,2022-12-09T04:01:36.000Z,1.0,0,1,6,0,0.13636363636363635
24921,1601064179099500544,Judas  Hades   DS2  FFXVI  Cyberpunk DLC si  Earthblade  Replaced  Bayonetta Origins    HYPEEEE,2022-12-09T04:00:21.000Z,1.0,0,0,0,0,0.0
25170,1601064099198009347,Top Tendencias de Twitter en Mxico     Elden Ring  GOTY    NoneGod of War  Taeyang  Armored Core  Al Pacino  Bayonetta   None,2022-12-09T04:00:02.000Z,1.0,0,0,1,0,0.5
25178,1601064097973342208,At least Kirby and Splatoon won the I genuinely cant be happy abt Bayonetta winning unfortunately  But Sonic and Xenoblade Chronicles were robbed,2022-12-09T04:00:01.000Z,1.0,0,0,0,0,0.18000000000000002
25705,1601063942859952128,As quedaron los ganadores en  GoW  Ragnarok  6 Elden Ring  4 Stray  2 FF XIV  2 Kirby and the Forgotten Land  1  Multiversus  1 Moss  Book II  1 Mario Rabbids Sparks of Hope  1 As Dusk Falls  1 GT  1 Splatoon  1 Bayonetta  1 Genshin Impact  1 ,2022-12-09T03:59:24.000Z,1.0,0,0,4,0,0.0
25924,1601063879622422528,LETS DANCE BOYS     Bayonetta Best action game of the year     ,2022-12-09T03:59:09.000Z,1.0,0,0,2,0,0.23333333333333336
27434,1601063264171229185,This year  instead of staying up from  30am to  30am for I went to bed earlier  10pm  to get my hours of sleep and woke up at  30am   and damn  happy I did  No Zelda TOTK trailer no award for Xenoblade  Bayonetta Origins   nice surprise  small budget though,2022-12-09T03:56:43.000Z,1.0,7,5,52,0,0.2875
28598,1601063011032084481,Waking up to find out that Bayonetta won Best Action Game AND Bayonetta Origins ,2022-12-09T03:55:42.000Z,2.0,2,0,4,0,0.23333333333333336
28708,1601062994363891712,Congrats to Kirby and the Forgotten Land  Splatoon   Bayonetta   Mario   Rabbids Sparks of Hope  and The Legend of Zelda  Tears of the Kingdom for all winning awards at  ,2022-12-09T03:55:38.000Z,1.0,8,1,65,0,0.5
29523,1601062842198740992,Best Action Game of BAYONETTA       Big L to for trying to bring this Gucci game down  Im so fucking happy,2022-12-09T03:55:02.000Z,1.0,0,0,1,0,0.13492063492063494
